Packetlevel,Neighbour,Component,Depth,Train_AUC,Test_AUC,Train_TPR,Test_TPR,Train_FPR,Test_FPR
4,20,12,10,1.0,0.998,1.0,0.904762,0.774775,0.952381
4,20,12,11,1.0,0.998,1.0,0.904762,0.774775,0.952381
4,24,5,2,1.0,0.998,0.963964,0.880952,0.756757,0.916667
4,24,5,3,1.0,0.998,1.0,0.904762,0.774775,0.916667
4,24,5,4,1.0,0.998,1.0,0.928571,0.774775,0.940476
4,24,5,5,1.0,0.998,1.0,0.904762,0.774775,0.916667
4,24,5,6,1.0,0.998,1.0,0.904762,0.774775,0.916667
4,24,5,7,1.0,0.998,1.0,0.904762,0.774775,0.916667
4,24,5,8,1.0,0.998,1.0,0.904762,0.774775,0.916667
4,24,5,9,1.0,0.998,1.0,0.904762,0.774775,0.916667
4,24,5,10,1.0,0.998,1.0,0.904762,0.774775,0.916667
4,24,5,11,1.0,0.998,1.0,0.904762,0.774775,0.916667
4,24,6,2,1.0,0.998,0.963964,0.880952,0.756757,0.904762
4,24,6,3,1.0,0.998,1.0,0.928571,0.774775,0.952381
4,24,6,4,1.0,0.998,1.0,0.880952,0.774775,0.880952
4,24,6,5,1.0,0.998,1.0,0.904762,0.774775,0.916667
4,24,6,6,1.0,0.998,1.0,0.904762,0.774775,0.916667
4,24,6,7,1.0,0.998,1.0,0.904762,0.774775,0.916667
4,24,6,8,1.0,0.998,1.0,0.904762,0.774775,0.916667
4,24,6,9,1.0,0.998,1.0,0.904762,0.774775,0.916667
4,24,6,10,1.0,0.998,1.0,0.904762,0.774775,0.916667
4,24,6,11,1.0,0.998,1.0,0.904762,0.774775,0.916667
4,24,7,2,1.0,0.998,1.0,0.880952,0.783784,0.916667
4,24,7,3,1.0,0.998,1.0,0.904762,0.774775,0.916667
4,24,7,4,1.0,0.998,1.0,0.928571,0.774775,0.952381
4,24,7,5,1.0,0.998,1.0,0.928571,0.774775,0.904762
4,24,7,6,1.0,0.998,1.0,0.880952,0.774775,0.833333
4,24,7,7,1.0,0.998,1.0,0.904762,0.774775,0.857143
4,24,7,8,1.0,0.998,1.0,0.904762,0.774775,0.857143
4,24,7,9,1.0,0.998,1.0,0.904762,0.774775,0.857143
4,24,7,10,1.0,0.998,1.0,0.904762,0.774775,0.857143
4,24,7,11,1.0,0.998,1.0,0.904762,0.774775,0.857143
4,24,8,2,1.0,0.998,1.0,0.880952,0.783784,0.916667
4,24,8,3,1.0,0.998,1.0,0.904762,0.774775,0.952381
4,24,8,4,1.0,0.998,1.0,0.880952,0.774775,0.833333
4,24,8,5,1.0,0.998,1.0,0.880952,0.774775,0.845238
4,24,8,6,1.0,0.998,1.0,0.880952,0.774775,0.833333
4,24,8,7,1.0,0.998,1.0,0.880952,0.774775,0.833333
4,24,8,8,1.0,0.998,1.0,0.880952,0.774775,0.845238
4,24,8,9,1.0,0.998,1.0,0.880952,0.774775,0.845238
4,24,8,10,1.0,0.998,1.0,0.880952,0.774775,0.845238
4,24,8,11,1.0,0.998,1.0,0.880952,0.774775,0.845238
4,24,9,2,1.0,0.998,1.0,0.857143,0.783784,0.892857
4,24,9,3,1.0,0.998,1.0,0.904762,0.774775,0.964286
4,24,9,4,1.0,0.998,1.0,0.880952,0.774775,0.880952
4,24,9,5,1.0,0.998,1.0,0.880952,0.774775,0.833333
4,24,9,6,1.0,0.998,1.0,0.904762,0.774775,0.857143
4,24,9,7,1.0,0.998,1.0,0.880952,0.774775,0.833333
4,24,9,8,1.0,0.998,1.0,0.880952,0.774775,0.833333
4,24,9,9,1.0,0.998,1.0,0.880952,0.774775,0.833333
4,24,9,10,1.0,0.998,1.0,0.880952,0.774775,0.833333
4,24,9,11,1.0,0.998,1.0,0.880952,0.774775,0.833333
4,24,10,2,1.0,0.998,1.0,0.857143,0.774775,0.892857
4,24,10,3,1.0,0.998,1.0,0.928571,0.774775,0.916667
4,24,10,4,1.0,0.998,1.0,0.928571,0.774775,0.904762
4,24,10,5,1.0,0.998,1.0,0.904762,0.774775,0.857143
4,24,10,6,1.0,0.998,1.0,0.928571,0.774775,0.880952
4,24,10,7,1.0,0.998,1.0,0.904762,0.774775,0.880952
4,24,10,8,1.0,0.998,1.0,0.928571,0.774775,0.869048
4,24,10,9,1.0,0.998,1.0,0.928571,0.774775,0.869048
4,24,10,10,1.0,0.998,1.0,0.928571,0.774775,0.869048
4,24,10,11,1.0,0.998,1.0,0.928571,0.774775,0.869048
4,24,11,2,1.0,0.998,1.0,0.880952,0.783784,0.916667
4,24,11,3,1.0,0.998,1.0,0.904762,0.774775,0.869048
4,24,11,4,1.0,0.998,1.0,0.904762,0.774775,0.857143
4,24,11,5,1.0,0.998,1.0,0.928571,0.774775,0.904762
4,24,11,6,1.0,0.998,1.0,0.904762,0.774775,0.869048
4,24,11,7,1.0,0.998,1.0,0.904762,0.774775,0.857143
4,24,11,8,1.0,0.998,1.0,0.880952,0.774775,0.845238
4,24,11,9,1.0,0.998,1.0,0.880952,0.774775,0.845238
4,24,11,10,1.0,0.998,1.0,0.880952,0.774775,0.845238
4,24,11,11,1.0,0.998,1.0,0.880952,0.774775,0.845238
4,24,12,2,1.0,0.998,1.0,0.904762,0.783784,0.916667
4,24,12,3,1.0,0.998,1.0,0.928571,0.774775,0.892857
4,24,12,4,1.0,0.998,1.0,0.928571,0.774775,0.928571
4,24,12,5,1.0,0.998,1.0,0.904762,0.774775,0.892857
4,24,12,6,1.0,0.998,1.0,0.928571,0.774775,0.928571
4,24,12,7,1.0,0.998,1.0,0.904762,0.774775,0.869048
4,24,12,8,1.0,0.998,1.0,0.904762,0.774775,0.857143
4,24,12,9,1.0,0.998,1.0,0.904762,0.774775,0.857143
4,24,12,10,1.0,0.998,1.0,0.904762,0.774775,0.857143
4,24,12,11,1.0,0.998,1.0,0.904762,0.774775,0.857143
4,28,5,2,1.0,0.998,1.0,0.880952,0.774775,0.833333
4,28,5,3,1.0,0.998,1.0,0.904762,0.774775,0.904762
4,28,5,4,1.0,0.998,1.0,0.880952,0.774775,0.845238
4,28,5,5,1.0,0.998,1.0,0.880952,0.774775,0.857143
4,28,5,6,1.0,0.998,1.0,0.880952,0.774775,0.869048
4,28,5,7,1.0,0.998,1.0,0.880952,0.774775,0.845238
4,28,5,8,1.0,0.998,1.0,0.880952,0.774775,0.845238
4,28,5,9,1.0,0.998,1.0,0.880952,0.774775,0.845238
4,28,5,10,1.0,0.998,1.0,0.880952,0.774775,0.845238
4,28,5,11,1.0,0.998,1.0,0.880952,0.774775,0.845238
4,28,6,2,1.0,0.997,1.0,0.857143,0.792793,0.833333
4,28,6,3,1.0,0.998,1.0,0.857143,0.774775,0.833333
4,28,6,4,1.0,0.998,1.0,0.880952,0.774775,0.869048
4,28,6,5,1.0,0.998,1.0,0.880952,0.774775,0.821429
4,28,6,6,1.0,0.998,1.0,0.880952,0.774775,0.869048
4,28,6,7,1.0,0.998,1.0,0.880952,0.774775,0.869048
4,28,6,8,1.0,0.998,1.0,0.880952,0.774775,0.869048
4,28,6,9,1.0,0.998,1.0,0.880952,0.774775,0.869048
4,28,6,10,1.0,0.998,1.0,0.880952,0.774775,0.869048
4,28,6,11,1.0,0.998,1.0,0.880952,0.774775,0.869048
4,28,7,2,1.0,0.997,1.0,0.857143,0.774775,0.821429
4,28,7,3,1.0,0.998,1.0,0.857143,0.774775,0.833333
4,28,7,4,1.0,0.998,1.0,0.880952,0.774775,0.833333
4,28,7,5,1.0,0.998,1.0,0.880952,0.774775,0.821429
4,28,7,6,1.0,0.998,1.0,0.880952,0.774775,0.869048
4,28,7,7,1.0,0.998,1.0,0.880952,0.774775,0.869048
4,28,7,8,1.0,0.998,1.0,0.880952,0.774775,0.869048
4,28,7,9,1.0,0.998,1.0,0.880952,0.774775,0.869048
4,28,7,10,1.0,0.998,1.0,0.880952,0.774775,0.869048
4,28,7,11,1.0,0.998,1.0,0.880952,0.774775,0.869048
4,28,8,2,1.0,0.998,1.0,0.857143,0.792793,0.797619
4,28,8,3,1.0,0.998,1.0,0.880952,0.774775,0.821429
4,28,8,4,1.0,0.998,1.0,0.857143,0.774775,0.785714
4,28,8,5,1.0,0.998,1.0,0.904762,0.774775,0.833333
4,28,8,6,1.0,0.998,1.0,0.857143,0.774775,0.809524
4,28,8,7,1.0,0.998,1.0,0.904762,0.774775,0.833333
4,28,8,8,1.0,0.998,1.0,0.904762,0.774775,0.833333
4,28,8,9,1.0,0.998,1.0,0.904762,0.774775,0.833333
4,28,8,10,1.0,0.998,1.0,0.904762,0.774775,0.833333
4,28,8,11,1.0,0.998,1.0,0.904762,0.774775,0.833333
4,28,9,2,1.0,0.998,1.0,0.904762,0.792793,0.845238
4,28,9,3,1.0,0.998,1.0,0.904762,0.774775,0.845238
4,28,9,4,1.0,0.998,1.0,0.857143,0.774775,0.797619
4,28,9,5,1.0,0.998,1.0,0.904762,0.774775,0.833333
4,28,9,6,1.0,0.998,1.0,0.880952,0.774775,0.845238
4,28,9,7,1.0,0.998,1.0,0.880952,0.774775,0.833333
4,28,9,8,1.0,0.998,1.0,0.880952,0.774775,0.833333
4,28,9,9,1.0,0.998,1.0,0.880952,0.774775,0.833333
4,28,9,10,1.0,0.998,1.0,0.880952,0.774775,0.833333
4,28,9,11,1.0,0.998,1.0,0.880952,0.774775,0.833333
4,28,10,2,1.0,0.998,1.0,0.904762,0.792793,0.869048
4,28,10,3,1.0,0.998,1.0,0.904762,0.774775,0.845238
4,28,10,4,1.0,0.998,1.0,0.880952,0.774775,0.809524
4,28,10,5,1.0,0.998,1.0,0.904762,0.774775,0.857143
4,28,10,6,1.0,0.998,1.0,0.880952,0.774775,0.809524
4,28,10,7,1.0,0.998,1.0,0.880952,0.774775,0.845238
4,28,10,8,1.0,0.998,1.0,0.880952,0.774775,0.845238
4,28,10,9,1.0,0.998,1.0,0.880952,0.774775,0.845238
4,28,10,10,1.0,0.998,1.0,0.880952,0.774775,0.845238
4,28,10,11,1.0,0.998,1.0,0.880952,0.774775,0.845238
4,28,11,2,1.0,0.998,1.0,0.904762,0.792793,0.857143
4,28,11,3,1.0,0.998,1.0,0.904762,0.774775,0.845238
